Country Name,Country Code,Year,average_value_CO2 emissions (kt)
Ecuador,ECU,1980,13443.222
Spain,ESP,1960,48928.781
Spain,ESP,1972,145026.183
Ethiopia,ETH,1997,3060
Finland,FIN,1997,60620
Finland,FIN,2006,67020
"Micronesia, Fed. Sts.",FSM,1964,
United Kingdom,GBR,1965,622619.93
Georgia,GEO,1973,
Guinea,GIN,1990,1000
"Gambia, The",GMB,1984,172.349
Guinea-Bissau,GNB,1992,180
Equatorial Guinea,GNQ,1984,80.674
Greece,GRC,1978,48081.704
Guyana,GUY,1973,1804.164
Honduras,HND,2020,
Heavily indebted poor countries (HIPC),HPC,1988,66173.2405278354
IBRD only,IBD,2001,10330186.2747057
IDA blend,IDB,1994,299566.054345643
Isle of Man,IMN,1960,
Italy,ITA,1996,412150
Italy,ITA,2011,396690
Jamaica,JAM,2006,12060
Kenya,KEN,1987,5174.137
Cambodia,KHM,2015,8580
St. Kitts and Nevis,KNA,2018,260
St. Lucia,LCA,2001,420
St. Lucia,LCA,2005,380
Latin America & Caribbean,LCN,2016,1747810.34046936
Sri Lanka,LKA,2007,13590
Low & middle income,LMY,1998,9706762.88315575
Low & middle income,LMY,2013,19948742.9084961
Luxembourg,LUX,2019,
Latvia,LVA,1991,17200
"Macao SAR, China",MAC,1965,132.012
Maldives,MDV,1986,80.674
Maldives,MDV,1995,260
Marshall Islands,MHL,1961,
Malta,MLT,2005,2620
Myanmar,MMR,2013,13590
Northern Mariana Islands,MNP,1982,
New Caledonia,NCL,1980,2002.182
New Caledonia,NCL,1989,1646.483
Nicaragua,NIC,1967,1081.765
Philippines,PHL,1971,27586.841
Philippines,PHL,1977,36754.341
Philippines,PHL,1993,47460
Palau,PLW,1977,183.35
Pre-demographic dividend,PRE,2018,513004.571870087
Qatar,QAT,1976,10384.944
Senegal,SEN,1988,2742.916
Solomon Islands,SLB,1975,58.672
Sierra Leone,SLE,1974,520.714
San Marino,SMR,1973,
South Sudan,SSD,1960,
Small states,SST,1987,110397.233969178
Sao Tome and Principe,STP,1960,11.001
Slovenia,SVN,2001,15380
Sweden,SWE,1979,84927.72
Eswatini,SWZ,1986,458.375
Eswatini,SWZ,1993,730
Eswatini,SWZ,2000,1130
Seychelles,SYC,1974,55.005
Seychelles,SYC,2011,400
Syrian Arab Republic,SYR,1978,15221.717
Togo,TGO,1974,377.701
Togo,TGO,2003,1830
Togo,TGO,2015,1820
Tajikistan,TJK,1974,
Tonga,TON,1980,40.337
Tuvalu,TUV,1995,10
Uganda,UGA,1983,616.056
St. Vincent and the Grenadines,VCT,1986,66.006
South Africa,ZAF,1989,341108.007
Afghanistan,AFG,1972,1532.806
Antigua and Barbuda,ATG,1978,491.378
Antigua and Barbuda,ATG,2000,330
Benin,BEN,1973,381.368
Burkina Faso,BFA,1986,480.377
Bangladesh,BGD,1966,20326.181
"Bahamas, The",BHS,1983,2016.85
Brazil,BRA,2012,451760
Botswana,BWA,1975,187.017
Central Europe and the Baltics,CEB,1977,1126889.44888637
Chile,CHL,1984,22200.018
China,CHN,2009,7715110
Cameroon,CMR,1980,3905.355
Colombia,COL,2003,56020
Comoros,COM,1967,18.335
Comoros,COM,2018,260
Caribbean small states,CSS,1970,20960.572
Germany,DEU,1960,
East Asia & Pacific,EAS,1978,3204082.70869281
Europe & Central Asia,ECS,2014,6107967.96534974
Ecuador,ECU,1993,16140
"Egypt, Arab Rep.",EGY,1969,19695.457
Eritrea,ERI,1969,
Eritrea,ERI,2002,680
Estonia,EST,2004,16920
Ethiopia,ETH,2011,7540
Fiji,FJI,1974,671.061
Fiji,FJI,1982,839.743
Ghana,GHA,1975,2746.583
Guinea-Bissau,GNB,2012,250
Equatorial Guinea,GNQ,1975,62.339
Equatorial Guinea,GNQ,1995,1000
Equatorial Guinea,GNQ,2017,5630
Guatemala,GTM,1960,1345.789
Heavily indebted poor countries (HIPC),HPC,2016,197520
Hungary,HUN,2005,55960
IBRD only,IBD,2005,13515600
Ireland,IRL,2007,47020
Israel,ISR,1961,7069.976
Israel,ISR,1983,23938.176
Kazakhstan,KAZ,1961,
Kiribati,KIR,1966,11.001
Liberia,LBR,1968,883.747
Libya,LBY,2002,43600
St. Lucia,LCA,1964,22.002
Least developed countries: UN classification,LDC,1999,102624.713474424
Least developed countries: UN classification,LDC,2002,120833.802260003
Lesotho,LSO,2017,2440
Late-demographic dividend,LTE,1969,3989267.25990712
Maldives,MDV,1990,160
Maldives,MDV,1996,280
North Macedonia,MKD,2014,7780
Mongolia,MNG,1970,2849.259
Northern Mariana Islands,MNP,1966,
Mauritius,MUS,2012,3730
New Caledonia,NCL,1960,861.745
New Caledonia,NCL,2010,
New Zealand,NZL,1990,22310
Other small states,OSS,1985,75809.4670016638
Peru,PER,1978,22460.375
Peru,PER,2003,26940
Palau,PLW,1984,157.681
Palau,PLW,1995,200
Paraguay,PRY,1960,304.361
Post-demographic dividend,PST,1980,11125412.9429753
French Polynesia,PYF,1976,264.024
Russian Federation,RUS,2008,1613140
Rwanda,RWA,1986,597.721
Saudi Arabia,SAU,1995,222400
Saudi Arabia,SAU,2010,439230
Serbia,SRB,1985,
Slovak Republic,SVK,1987,
Slovenia,SVN,1979,
Syrian Arab Republic,SYR,1984,33091.008
Thailand,THA,1966,9479.195
Timor-Leste,TLS,1965,
Timor-Leste,TLS,1984,
Tonga,TON,1972,22.002
South Asia (IDA & IBRD),TSA,1990,643080
Sub-Saharan Africa (IDA & IBRD countries),TSS,1989,482488.154101166
Tunisia,TUN,2015,29670
Upper middle income,UMC,1975,5821524.45911329
Uruguay,URY,2004,5460
United States,USA,1970,4328904.501
St. Vincent and the Grenadines,VCT,2008,220
Virgin Islands (U.S.),VIR,1988,
"Yemen, Rep.",YEM,1993,8120
Belgium,BEL,2010,106470
"Bahamas, The",BHS,2005,2020
Belarus,BLR,1977,
Bermuda,BMU,1977,454.708
Bermuda,BMU,2005,
Barbados,BRB,1971,484.044
Barbados,BRB,1972,502.379
Botswana,BWA,1967,
Central African Republic,CAF,1999,240
Central Europe and the Baltics,CEB,2007,757920
Switzerland,CHE,1988,40711.034
Cabo Verde,CPV,1994,110
Costa Rica,CRI,2004,5940
Caribbean small states,CSS,1994,29430
Cyprus,CYP,1965,1151.438
Cyprus,CYP,2000,7070
Czech Republic,CZE,1961,
Dominican Republic,DOM,1990,7860
Dominican Republic,DOM,1999,17790
East Asia & Pacific,EAS,2017,14433707.8899407
Europe & Central Asia (excluding high income),ECA,2014,2886246.82462307
Euro area,EMU,1960,
Estonia,EST,1999,15200
Estonia,EST,2002,14860
Ethiopia,ETH,1975,1210.11
European Union,EUU,1986,3717496.50705926
Equatorial Guinea,GNQ,1994,990
Equatorial Guinea,GNQ,2019,
Greenland,GRL,1960,223.687
Greenland,GRL,1962,264.024
Greenland,GRL,1982,517.047
High income,HIC,1976,10734639.871362
Heavily indebted poor countries (HIPC),HPC,1973,50769.6689773542
Croatia,HRV,1973,
Croatia,HRV,2001,19200
Hungary,HUN,1994,57780
India,IND,1985,426673.785
"Iran, Islamic Rep.",IRN,1982,138007.545
Jamaica,JAM,1964,4066.703
Jamaica,JAM,2018,8510
Kenya,KEN,1976,4609.419
Kenya,KEN,1984,4319.726
Lao PDR,LAO,1988,212.686
Liberia,LBR,2019,
Low income,LIC,1993,159759.134493445
Lower middle income,LMC,1967,679451.693377621
Low & middle income,LMY,1960,3543113.06649761
"Macao SAR, China",MAC,1991,
Moldova,MDA,2007,8140
Middle East & North Africa,MEA,1985,764752.217005099
Middle income,MIC,1983,9330866.04382632
Myanmar,MMR,2020,
Mozambique,MOZ,1973,3564.324
Mauritania,MRT,2015,2950
Nigeria,NGA,1995,81540
Nauru,NRU,2001,80
Peru,PER,1990,20630
Papua New Guinea,PNG,1983,2009.516
"Korea, Dem. People's Rep.",PRK,1970,73552.686
Paraguay,PRY,1977,1158.772
Sudan,SDN,1977,3806.346
Senegal,SEN,1968,-80.674
Solomon Islands,SLB,2003,270
Somalia,SOM,1984,715.065
Serbia,SRB,1988,
South Sudan,SSD,1984,
Sub-Saharan Africa,SSF,2019,
Small states,SST,1978,125018.312808654
Slovak Republic,SVK,1981,
Chad,TCD,1986,187.017
East Asia & Pacific (IDA & IBRD countries),TEA,2011,10468910
Europe & Central Asia (IDA & IBRD countries),TEC,1981,6352914.98000672
Togo,TGO,1982,733.4
Tajikistan,TJK,1981,
Timor-Leste,TLS,1996,0
South Asia (IDA & IBRD),TSA,1978,321225.533
South Asia (IDA & IBRD),TSA,2017,2622720
Tunisia,TUN,1970,3744.007
Uganda,UGA,1960,421.705
United States,USA,1989,4955081.421
Virgin Islands (U.S.),VIR,2010,
Vietnam,VNM,1981,17726.278
World,WLD,1965,11402575.2016796
South Africa,ZAF,1964,119657.877
Zambia,ZMB,2003,2090
Africa Eastern and Southern,AFE,1986,385101.6709672
Albania,ALB,1974,4345.395
Argentina,ARG,1990,99840
American Samoa,ASM,2013,
Belgium,BEL,1984,105422.583
Belgium,BEL,1996,119450
Bolivia,BOL,2013,18560
Barbados,BRB,1965,205.352
Barbados,BRB,1994,1030
Bhutan,BTN,1970,3.667
Bhutan,BTN,1989,62.339
Switzerland,CHE,2010,45210
Channel Islands,CHI,1995,
Cote d'Ivoire,CIV,1974,3560.657
"Congo, Dem. Rep.",COD,2007,1750
Comoros,COM,1976,40.337
Caribbean small states,CSS,2007,42970
Cayman Islands,CYM,2007,
Czech Republic,CZE,1987,
Germany,DEU,2016,747150
Djibouti,DJI,1970,139.346
East Asia & Pacific (excluding high income),EAP,1975,1417048.50971048
Europe & Central Asia,ECS,1961,5001459.20992692
Europe & Central Asia,ECS,1977,9816861.2119365
Spain,ESP,1984,198953.085
Spain,ESP,2004,335560
Ethiopia,ETH,1967,1074.431
European Union,EUU,1979,4114434.17645228
United Kingdom,GBR,1984,529335.117
Guatemala,GTM,2013,13010
High income,HIC,1970,9550102.45196562
Haiti,HTI,2009,1990
IDA blend,IDB,1980,214975.510442747
"Iran, Islamic Rep.",IRN,1987,159573.172
"Iran, Islamic Rep.",IRN,2017,620780
Iraq,IRQ,1995,96100
Iceland,ISL,1971,1474.134
Italy,ITA,1991,404070
Kenya,KEN,2014,15030
Low income,LIC,1989,287524.481530993
Liechtenstein,LIE,1997,220
Liechtenstein,LIE,2009,210
Sri Lanka,LKA,2000,10930
Lower middle income,LMC,1998,2495848.87328271
Lower middle income,LMC,2006,3439900.13489183
Monaco,MCO,1960,
Mexico,MEX,2016,479250
North Macedonia,MKD,1966,
Montenegro,MNE,1991,0
Mauritius,MUS,1960,179.683
Norway,NOR,1960,13102.191
Norway,NOR,1969,22222.02
Norway,NOR,2004,37460
Nepal,NPL,2007,2690
Nauru,NRU,1997,100
Nauru,NRU,2004,70
Philippines,PHL,1972,26442.737
Philippines,PHL,1973,31543.534
Philippines,PHL,1998,74930
Palau,PLW,1978,110.01
Portugal,PRT,1974,20714.883
Romania,ROU,2011,83950
Sierra Leone,SLE,1984,616.056
Sub-Saharan Africa (excluding high income),SSA,1960,126340.879034511
Sub-Saharan Africa,SSF,1982,427334.608632823
Sweden,SWE,1997,57380
Sweden,SWE,2017,38330
Syrian Arab Republic,SYR,1964,4367.397
East Asia & Pacific (IDA & IBRD countries),TEA,2012,10755870
Europe & Central Asia (IDA & IBRD countries),TEC,1984,6632728.97026509
Europe & Central Asia (IDA & IBRD countries),TEC,2011,3371465.47386607
Trinidad and Tobago,TTO,1979,16725.187
Tuvalu,TUV,2003,10
Tuvalu,TUV,2004,10
Tanzania,TZA,1992,1860
Uruguay,URY,2011,7610
St. Vincent and the Grenadines,VCT,1991,90
"Venezuela, RB",VEN,1990,103120
Virgin Islands (U.S.),VIR,1964,
Virgin Islands (U.S.),VIR,1998,
Vietnam,VNM,2004,84460
World,WLD,1978,19921141.7148437
Zambia,ZMB,1973,4591.084
Aruba,ABW,1980,10498.621
Arab World,ARB,1983,506504.207784031
Arab World,ARB,2013,1706809.49206951
United Arab Emirates,ARE,1995,72640
Armenia,ARM,1975,
Armenia,ARM,2002,3120
Antigua and Barbuda,ATG,1997,300
Azerbaijan,AZE,1967,
Azerbaijan,AZE,2009,25140
Belarus,BLR,2018,59310
Barbados,BRB,2012,2210
Bhutan,BTN,1963,
Botswana,BWA,1988,1301.785
Central African Republic,CAF,1972,168.682
Switzerland,CHE,2006,45480
Cameroon,CMR,1970,638.058
Cayman Islands,CYM,2004,
Cayman Islands,CYM,2015,
Cyprus,CYP,1980,3208.625
Dominica,DMA,2014,180
Dominica,DMA,2015,180
Algeria,DZA,1987,84120.98
East Asia & Pacific (excluding high income),EAP,1999,3911576.45794318
"Egypt, Arab Rep.",EGY,1971,23047.095
Estonia,EST,2020,
Finland,FIN,1964,22852.744
"Gambia, The",GMB,2014,520
Guam,GUM,1972,
Guyana,GUY,1978,2057.187
IBRD only,IBD,1989,11639002.6528515
IDA total,IDA,1966,160241.831190354
IDA blend,IDB,1991,287990.410605148
Indonesia,IDN,1964,22394.369
Isle of Man,IMN,1974,
Iceland,ISL,1999,2120
Israel,ISR,1966,13597.236
Kiribati,KIR,1997,30
Kuwait,KWT,1989,35885.262
Latin America & Caribbean,LCN,2018,1689187.43577303
Low income,LIC,1986,223350.435833446
Liechtenstein,LIE,1990,200
Sri Lanka,LKA,1996,8360
Late-demographic dividend,LTE,2002,7319437.1546522
Lithuania,LTU,1987,
"Macao SAR, China",MAC,1987,971.755
St. Martin (French part),MAF,2020,
Morocco,MAR,2017,65930
Mexico,MEX,1968,93988.877
Middle income,MIC,2012,19265560.2010181
Mauritania,MRT,2016,2810
New Caledonia,NCL,1973,2599.903
New Caledonia,NCL,1992,
OECD members,OED,2003,13022110
Oman,OMN,1962,
Panama,PAN,2008,7300
Panama,PAN,2020,
Peru,PER,1992,20690
Pre-demographic dividend,PRE,1983,154031.216734524
Puerto Rico,PRI,1987,
Paraguay,PRY,1961,363.033
Pacific island small states,PSS,2011,2480
Post-demographic dividend,PST,1962,6327981.54145324
French Polynesia,PYF,2007,
Romania,ROU,1963,69529.987
South Asia,SAS,2003,1167850
Saudi Arabia,SAU,1960,2676.91
Saudi Arabia,SAU,2012,488750
Senegal,SEN,1991,2330
Serbia,SRB,1968,
South Sudan,SSD,1974,
Slovak Republic,SVK,2006,37880
Slovenia,SVN,1968,
Eswatini,SWZ,1973,370.367
Eswatini,SWZ,1979,447.374
Sint Maarten (Dutch part),SXM,2019,
Seychelles,SYC,2020,
Turks and Caicos Islands,TCA,2008,
Middle East & North Africa (IDA & IBRD countries),TMN,1961,82001.454
Tuvalu,TUV,2011,10
Uruguay,URY,2007,5850
"Venezuela, RB",VEN,2009,163930
Virgin Islands (U.S.),VIR,2015,
World,WLD,2003,25143943.8476202
South Africa,ZAF,1981,257368.395
Africa Eastern and Southern,AFE,2020,
Afghanistan,AFG,1960,414.371
Africa Western and Central,AFW,1990,90210
Angola,AGO,2011,29460
Argentina,ARG,1965,58866.351
Armenia,ARM,1981,
Australia,AUS,1987,256106.947
Austria,AUT,1973,60164.469
Austria,AUT,1989,54117.586
Azerbaijan,AZE,1963,
Benin,BEN,1987,539.049
Bangladesh,BGD,2003,28630
Bulgaria,BGR,1968,59526.411
Belize,BLZ,1986,205.352
Chile,CHL,1981,24554.232
Cote d'Ivoire,CIV,1967,1488.802
"Congo, Dem. Rep.",COD,1995,1240
"Congo, Rep.",COG,1987,1323.787
"Congo, Rep.",COG,2020,
Germany,DEU,1970,
Germany,DEU,2002,833180
Dominica,DMA,2000,130
"Egypt, Arab Rep.",EGY,1972,25511.319
Fiji,FJI,1989,630.724
Guinea-Bissau,GNB,1968,62.339
Guinea-Bissau,GNB,1971,73.34
Greenland,GRL,2008,
Greenland,GRL,2011,
Croatia,HRV,1965,
IDA total,IDA,1978,273294.434836028
IDA only,IDX,1964,67895.6043033554
IDA only,IDX,1995,131099.763476538
Iraq,IRQ,1977,43710.64
Iraq,IRQ,2012,151860
Italy,ITA,2002,443470
Kenya,KEN,2013,14100
"Korea, Rep.",KOR,1970,53783.889
Libya,LBY,1977,20106.161
Latin America & Caribbean,LCN,1982,907204.619708886
Latin America & Caribbean,LCN,2001,1276987.19553787
Least developed countries: UN classification,LDC,1965,47159.9657815857
Low income,LIC,1967,74285.6061787349
Late-demographic dividend,LTE,1967,3524684.47112199
St. Martin (French part),MAF,1996,
Maldives,MDV,1982,47.671
Malta,MLT,1978,935.085
Mongolia,MNG,1985,9028.154
Northern Mariana Islands,MNP,1977,
Mauritius,MUS,2016,4040
North America,NAC,1984,4902641.45937309
Nigeria,NGA,2013,110720
Nicaragua,NIC,2016,5380
Norway,NOR,1974,27696.851
New Zealand,NZL,1982,18239.658
Other small states,OSS,2003,108174.872793551
Peru,PER,1996,27740
Pre-demographic dividend,PRE,1970,84500.3392694405
"Korea, Dem. People's Rep.",PRK,1998,60940
West Bank and Gaza,PSE,1996,
Post-demographic dividend,PST,1970,9699671.47778328
Solomon Islands,SLB,1994,190
San Marino,SMR,1979,
Small states,SST,2009,202227.473660023
Slovenia,SVN,1966,
Europe & Central Asia (IDA & IBRD countries),TEC,1993,3628158.51142849
Turkmenistan,TKM,1973,
Middle East & North Africa (IDA & IBRD countries),TMN,1982,360972.146
Sub-Saharan Africa (IDA & IBRD countries),TSS,1960,126346.100025262
Ukraine,UKR,1974,
United States,USA,1996,5283110
St. Vincent and the Grenadines,VCT,1963,14.668
British Virgin Islands,VGB,2020,
Vietnam,VNM,2009,131720
American Samoa,ASM,1964,
American Samoa,ASM,1987,
Austria,AUT,1991,62420
Azerbaijan,AZE,1962,
Belgium,BEL,1987,103116.04
Bangladesh,BGD,2016,73740
Bahrain,BHR,2015,30600
Belarus,BLR,1995,57530
Bermuda,BMU,1976,469.376
Bolivia,BOL,2006,11160
Brazil,BRA,1985,181248.809
Central African Republic,CAF,1964,73.34
Cameroon,CMR,1982,6343.91
Cabo Verde,CPV,1965,25.669
Cayman Islands,CYM,1969,44.004
Dominican Republic,DOM,1967,1569.476
East Asia & Pacific (excluding high income),EAP,1970,974659.80088057
East Asia & Pacific,EAS,2014,14155188.4516276
Ecuador,ECU,2004,25420
Eritrea,ERI,2012,630
Spain,ESP,2019,
Ethiopia,ETH,1992,1520
Finland,FIN,1969,37935.115
France,FRA,2001,376860
France,FRA,2008,358210
Georgia,GEO,1972,
Georgia,GEO,1996,6360
Gibraltar,GIB,1981,51.338
Equatorial Guinea,GNQ,1965,29.336
Guam,GUM,1981,
Haiti,HTI,1989,1037.761
IDA only,IDX,1967,83258.9549277794
Isle of Man,IMN,1981,
India,IND,2014,2136870
"Iran, Islamic Rep.",IRN,1976,156643.239
Iraq,IRQ,1966,27704.185
Jamaica,JAM,1968,3883.353
Kazakhstan,KAZ,1970,
Kuwait,KWT,2014,83580
Lebanon,LBN,2013,23240
Libya,LBY,2012,52300
Latin America & Caribbean,LCN,2010,1613466.60742502
Sri Lanka,LKA,1960,2258.872
Low & middle income,LMY,1970,5534955.85022651
Lithuania,LTU,1960,
"Macao SAR, China",MAC,2017,
Morocco,MAR,1990,21730
Monaco,MCO,2018,
Marshall Islands,MHL,2007,140
North Macedonia,MKD,1995,8570
Mali,MLI,1998,770
Mongolia,MNG,1973,3479.983
Mongolia,MNG,1983,6996.636
Northern Mariana Islands,MNP,2017,
Mauritius,MUS,1997,1620
Netherlands,NLD,1982,134322.21
Norway,NOR,1964,16189.805
New Zealand,NZL,2009,31320
Pakistan,PAK,2016,180570
Philippines,PHL,1969,22860.078
Portugal,PRT,1968,13010.516
Post-demographic dividend,PST,1981,10723415.1335355
Russian Federation,RUS,2003,1522190
El Salvador,SLV,1975,2108.525
El Salvador,SLV,2003,6510
Somalia,SOM,2008,620
Sub-Saharan Africa (excluding high income),SSA,1978,324867.523900671
South Sudan,SSD,1970,
Sub-Saharan Africa,SSF,1979,366459.446964545
Togo,TGO,1997,760
Thailand,THA,1979,36736.006
Thailand,THA,2011,234620
Turkmenistan,TKM,1960,
Turkmenistan,TKM,1998,30590
Tunisia,TUN,1981,9834.894
Upper middle income,UMC,1986,8417768.96607775
British Virgin Islands,VGB,2006,
Virgin Islands (U.S.),VIR,2011,
Vietnam,VNM,1974,19083.068
World,WLD,1984,20636636.7592607
Samoa,WSM,2019,
Kosovo,XKX,1997,
Kosovo,XKX,2014,
Zambia,ZMB,1976,4026.366
Albania,ALB,2010,4580
Armenia,ARM,1965,
Benin,BEN,1963,121.011
Benin,BEN,1964,143.013
Burkina Faso,BFA,1977,249.356
Bulgaria,BGR,1994,53520
Bahrain,BHR,2012,26570
Belize,BLZ,1981,183.35
Bermuda,BMU,1979,462.042
Brazil,BRA,1961,49203.806
Barbados,BRB,1973,480.377
Brunei Darussalam,BRN,1974,8184.744
Bhutan,BTN,1993,170
Central Europe and the Baltics,CEB,2002,705970
Channel Islands,CHI,1965,
Cameroon,CMR,1966,344.698
"Congo, Dem. Rep.",COD,2012,2430
Colombia,COL,1960,16409.825
Costa Rica,CRI,1977,2614.571
Curacao,CUW,1982,
Cayman Islands,CYM,1963,11.001
Cyprus,CYP,2015,6780
Germany,DEU,1982,
Algeria,DZA,2002,80410
East Asia & Pacific (excluding high income),EAP,1978,1789879.96049547
East Asia & Pacific,EAS,1970,2054417.29432393
Europe & Central Asia (excluding high income),ECA,1974,4944260.79509577
Europe & Central Asia (excluding high income),ECA,1987,6753435.29784297
Ecuador,ECU,1998,23380
Estonia,EST,2006,15890
"Micronesia, Fed. Sts.",FSM,1981,
Greenland,GRL,1980,564.718
Guatemala,GTM,1983,3179.289
Guyana,GUY,2003,1620
High income,HIC,1982,10432965.4044695
Iraq,IRQ,1985,44675.061
Jamaica,JAM,2020,
Kazakhstan,KAZ,1971,
Kazakhstan,KAZ,2011,242190
Kenya,KEN,1986,4162.045
Kyrgyz Republic,KGZ,2018,11000
Cambodia,KHM,1978,51.338
St. Kitts and Nevis,KNA,2000,190
Kuwait,KWT,1985,29159.984
Lao PDR,LAO,1978,231.021
Lebanon,LBN,1981,6351.244
Latin America & Caribbean,LCN,1976,717864.143874174
Least developed countries: UN classification,LDC,2004,143104.97099838
Lesotho,LSO,1964,
Late-demographic dividend,LTE,1984,7452964.45335714
Monaco,MCO,1972,
Middle income,MIC,2007,15327681.0810587
Malta,MLT,2006,2650
Myanmar,MMR,1962,2882.262
Montenegro,MNE,1982,
Malaysia,MYS,1989,49882.201
Netherlands,NLD,1981,164956.328
Netherlands,NLD,1987,152569.202
Norway,NOR,1980,38052.459
Nepal,NPL,1963,99.009
New Zealand,NZL,1986,22893.081
Oman,OMN,1995,15600
Pakistan,PAK,1980,32067.915
Puerto Rico,PRI,1995,
Puerto Rico,PRI,2000,
Paraguay,PRY,1990,2070
French Polynesia,PYF,1991,
Saudi Arabia,SAU,2000,244340
Saudi Arabia,SAU,2002,266910
Solomon Islands,SLB,1979,110.01
Sierra Leone,SLE,1993,460
Serbia,SRB,1964,
Sub-Saharan Africa,SSF,2005,622854.53512915
Small states,SST,1964,35145.4816145968
Sao Tome and Principe,STP,1993,50
Syrian Arab Republic,SYR,1968,5962.542
Chad,TCD,2017,1020
East Asia & Pacific (IDA & IBRD countries),TEA,1995,3661945.33246809
Thailand,THA,1983,42452.859
Latin America & the Caribbean (IDA & IBRD countries),TLA,1994,982960
Sub-Saharan Africa (IDA & IBRD countries),TSS,1982,427334.608632823
Tunisia,TUN,1977,6758.281
Tuvalu,TUV,1962,
Uganda,UGA,1978,700.397
Vanuatu,VUT,2019,
Kosovo,XKX,1976,
Aruba,ABW,1962,12713.489
Aruba,ABW,1973,15592.084
Afghanistan,AFG,1988,2867.594
Arab World,ARB,1998,855870.348430225
Australia,AUS,1961,90589.568
Burkina Faso,BFA,1990,590
"Bahamas, The",BHS,1973,7873.049
Belize,BLZ,2019,
Brazil,BRA,1964,56735.824
Bhutan,BTN,1969,
Botswana,BWA,1983,1030.427
Central African Republic,CAF,2000,240
Canada,CAN,1969,307400.943
Channel Islands,CHI,1977,
"Congo, Dem. Rep.",COD,2013,3650
"Congo, Rep.",COG,2010,4980
Cabo Verde,CPV,2000,220
Costa Rica,CRI,1999,5040
Czech Republic,CZE,1985,
Germany,DEU,1974,
Germany,DEU,1997,870900
Algeria,DZA,1972,28349.577
Algeria,DZA,1997,72830
East Asia & Pacific,EAS,1984,3766238.30453253
Europe & Central Asia,ECS,1988,10895798.1466467
Ecuador,ECU,1991,16160
European Union,EUU,1976,3837936.05830539
European Union,EUU,2017,2926600
Fragile and conflict affected situations,FCS,1998,504315.535052319
Fiji,FJI,2005,1280
United Kingdom,GBR,1982,548520.861
Ghana,GHA,2011,12210
Gibraltar,GIB,2018,
Guinea,GIN,1992,1050
Heavily indebted poor countries (HIPC),HPC,2007,121540
Heavily indebted poor countries (HIPC),HPC,2017,204450
IBRD only,IBD,2010,17496240
IDA total,IDA,1964,135395.611199833
IDA only,IDX,2005,225446.125053584
Israel,ISR,1999,52980
Italy,ITA,1970,296740.974
Kiribati,KIR,2006,70
Kiribati,KIR,2017,80
Kuwait,KWT,2015,88040
Latin America & Caribbean,LCN,1983,865409.093169942
Low income,LIC,2002,162960.513400554
Lower middle income,LMC,1962,508478.430231251
Lesotho,LSO,2013,2290
Late-demographic dividend,LTE,1978,6728566.01124479
Luxembourg,LUX,1962,11551.05
Luxembourg,LUX,1988,8929.145
Latvia,LVA,1961,
St. Martin (French part),MAF,1983,
St. Martin (French part),MAF,1991,
Middle East & North Africa,MEA,1962,114919.129723501
Mali,MLI,2008,2090
Myanmar,MMR,1963,2636.573
North America,NAC,1981,4967621.05162494
North America,NAC,2011,5722290.1811996
North America,NAC,2012,5499724.10453784
Namibia,NAM,1996,1920
New Caledonia,NCL,2007,
Niger,NER,1961,55.005
Nigeria,NGA,1991,75570
Netherlands,NLD,1965,100497.802
Nauru,NRU,1984,124.678
Oman,OMN,2008,40080
Panama,PAN,1962,1191.775
Peru,PER,2008,38560
Philippines,PHL,1974,30531.442
Poland,POL,1980,464575.897
Paraguay,PRY,1984,1496.136
Pacific island small states,PSS,1961,349.160266625856
Pacific island small states,PSS,1977,1456.68520120212
South Asia,SAS,1974,263356.606
Senegal,SEN,1998,3600
Senegal,SEN,2019,
Solomon Islands,SLB,2019,
El Salvador,SLV,2012,6770
San Marino,SMR,2017,
Small states,SST,1970,72026.7492832097
Slovenia,SVN,2005,15930
Sweden,SWE,1967,69001.939
Seychelles,SYC,2010,440
Syrian Arab Republic,SYR,2015,26040
East Asia & Pacific (IDA & IBRD countries),TEA,1980,1700211.72570038
Thailand,THA,1981,38048.792
Tajikistan,TJK,1963,
Tajikistan,TJK,2007,3250
Turkmenistan,TKM,2014,69490
Tunisia,TUN,1964,2757.584
Turkey,TUR,2005,235010
Tuvalu,TUV,1976,
Tuvalu,TUV,2001,10
Tuvalu,TUV,2002,10
Ukraine,UKR,1977,
Uzbekistan,UZB,2013,113130
British Virgin Islands,VGB,1989,66.006
British Virgin Islands,VGB,2003,
Vanuatu,VUT,1989,62.339
World,WLD,2017,33351608.0948268
Samoa,WSM,1963,22.002
Kosovo,XKX,1993,
Kosovo,XKX,1998,
"Yemen, Rep.",YEM,1976,729.733
Zambia,ZMB,1965,3916.356
Africa Eastern and Southern,AFE,1975,231987.508709502
Arab World,ARB,2015,1828844.25666163
Antigua and Barbuda,ATG,1968,990.09
Azerbaijan,AZE,2020,
Belgium,BEL,1980,135301.299
Benin,BEN,2000,1530
Burkina Faso,BFA,2010,2090
Chile,CHL,1997,50560
"Congo, Rep.",COG,2013,4000
Colombia,COL,1994,56430
Cuba,CUB,1966,15185.047
Early-demographic dividend,EAR,1969,1061629.30025172
East Asia & Pacific,EAS,2016,14170430.3914366
Europe & Central Asia (excluding high income),ECA,1977,5609194.57669981
Estonia,EST,2012,16780
Fragile and conflict affected situations,FCS,1978,294863.020162984
